sequence,seq_num,run,seed,project,position,model,init,fin,gain,tokens,cost,requests,time_min,flagged
sequence_01,1,run_02,767,restcountries,3,glm,82.87,82.87,0.0,333251,0.45768182,22,8.879645744959513,False
sequence_01,1,run_02,767,scs,1,qwen,65.08,86.78,21.700000000000003,196243,0.17839729,14,15.160819069544475,False
sequence_01,1,run_02,767,scs,2,gpt5mini,86.78,92.88,6.099999999999994,119633,0.10723025,14,2.758301699161529,False
sequence_01,1,run_02,767,scs,3,glm,92.88,95.59,2.710000000000008,144666,0.3470404196,14,9.459504787127177,False
sequence_01,1,run_02,767,spring-actuator-demo,1,qwen,80.65,100.0,19.349999999999994,11474,0.0145872,2,5.747321112950643,False
sequence_01,1,run_02,767,spring-actuator-demo,2,gpt5mini,100.0,100.0,0.0,0,0.0,0,0.0001993536949157,False
sequence_01,1,run_02,767,spring-actuator-demo,3,glm,100.0,100.0,0.0,0,0.0,0,0.000219178199768,False
sequence_01,1,run_03,367,features-service,1,qwen,56.02,80.53,24.51,264908,0.20858642,22,8.605432685216268,False
sequence_01,1,run_03,367,features-service,2,gpt5mini,80.53,80.96,0.4299999999999926,118329,0.09724425,14,3.5259623010953267,False
sequence_01,1,run_03,367,features-service,3,glm,80.96,80.96,0.0,101410,0.1728737659999999,10,6.539678049087525,False
sequence_01,1,run_03,367,ncs,1,qwen,74.18,96.0,21.819999999999997,98518,0.1008956799999999,10,8.959008963902791,False
sequence_01,1,run_03,367,ncs,2,gpt5mini,96.0,96.0,0.0,55976,0.06148375,10,2.3405301451683043,False
sequence_01,1,run_03,367,ncs,3,glm,96.0,96.0,0.0,109458,0.3512303699999999,10,10.554124939441682,False
sequence_01,1,run_03,367,restcountries,1,qwen,78.27,82.14,3.870000000000005,425709,0.2331014,18,8.402155896027883,False
sequence_01,1,run_03,367,restcountries,2,gpt5mini,82.14,82.5,0.3599999999999994,318140,0.17014825,19,4.504835319519043,False
sequence_01,1,run_03,367,restcountries,3,glm,82.5,82.87,0.3700000000000045,405324,0.6050652100000001,29,20.837776068846384,False
sequence_01,1,run_03,367,scs,1,qwen,65.08,92.54,27.460000000000008,184634,0.16321449,15,11.38709494272868,False
sequence_01,1,run_03,367,scs,2,gpt5mini,92.54,93.22,0.6799999999999926,119672,0.10366125,15,2.490182650089264,False
sequence_01,1,run_03,367,scs,3,glm,93.22,93.56,0.3400000000000034,141865,0.317068186,15,10.230192438761394,False
sequence_01,1,run_03,367,spring-actuator-demo,1,qwen,80.65,80.65,0.0,10702,0.01324601,2,2.974720342954,False
sequence_01,1,run_03,367,spring-actuator-demo,2,gpt5mini,80.65,80.65,0.0,17244,0.02028675,3,3.211300746599833,False
sequence_01,1,run_03,367,spring-actuator-demo,3,glm,80.65,100.0,19.349999999999994,7941,0.01483035,2,2.803597331047058,False
sequence_01,1,run_03,450,features-service,1,qwen,56.02,80.31,24.29,281674,0.2306494899999999,25,7.618071591854095,False
sequence_01,1,run_03,450,features-service,2,gpt5mini,80.31,80.96,0.6499999999999915,107525,0.0907352499999999,13,3.408031376202901,False
sequence_01,1,run_03,450,features-service,3,glm,80.96,80.96,0.0,168097,0.3499910691999999,19,11.446335860093434,False
sequence_01,1,run_03,450,ncs,1,qwen,74.18,95.64,21.459999999999997,134231,0.14652658,9,19.38437199195226,False
sequence_01,1,run_03,450,ncs,2,gpt5mini,95.64,96.0,0.3599999999999994,62855,0.07013,12,2.3577827135721843,False
sequence_01,1,run_03,450,ncs,3,glm,96.0,96.36,0.3599999999999994,67384,0.1955589344,10,3.8971819480260215,False
sequence_01,1,run_03,450,restcountries,1,qwen,78.27,82.5,4.230000000000004,423594,0.22860295,21,8.068778618176777,False
sequence_01,1,run_03,450,restcountries,2,gpt5mini,82.5,82.87,0.3700000000000045,286703,0.149815,17,4.146537109216054,False
sequence_01,1,run_03,450,restcountries,3,glm,82.87,82.87,0.0,347017,0.5463272951,26,6.656663413842519,False
sequence_01,1,run_03,450,scs,1,qwen,65.08,95.59,30.510000000000005,177667,0.1524689699999999,14,10.586766469478608,False
sequence_01,1,run_03,450,scs,2,gpt5mini,95.59,95.59,0.0,123912,0.113634,15,2.918906033039093,False
sequence_01,1,run_03,450,scs,3,glm,95.59,95.59,0.0,148323,0.323897294,15,18.84508593479792,False
sequence_01,1,run_03,450,spring-actuator-demo,1,qwen,80.65,80.65,0.0,9175,0.00918872,2,4.653349165121714,False
sequence_01,1,run_03,450,spring-actuator-demo,2,gpt5mini,80.65,80.65,0.0,10685,0.0143805,2,2.7193068861961365,False
sequence_01,1,run_03,450,spring-actuator-demo,3,glm,80.65,100.0,19.349999999999994,6167,0.01092226,2,3.2906023025512696,False
sequence_01,1,run_03,767,features-service,1,qwen,56.02,80.31,24.29,298139,0.18472384,21,21.81939951578776,False
sequence_01,1,run_03,767,features-service,2,gpt5mini,80.31,80.31,0.0,108324,0.09302275,12,3.726248089472453,False
sequence_01,1,run_03,767,features-service,3,glm,80.31,80.96,0.6499999999999915,121075,0.2340740695,12,30.97160092989604,False
sequence_01,1,run_03,767,ncs,1,qwen,74.18,92.73,18.55,110906,0.11833234,8,12.216342834631602,False
sequence_01,1,run_03,767,ncs,2,gpt5mini,92.73,95.64,2.9099999999999966,53137,0.0592585,9,2.4536858518918354,False
sequence_01,1,run_03,767,ncs,3,glm,95.64,95.64,0.0,80364,0.2582286516,8,11.68784380753835,False
sequence_01,1,run_03,767,restcountries,1,qwen,78.27,82.32,4.049999999999997,413273,0.21682061,18,8.374823009967804,False
sequence_01,1,run_03,767,restcountries,2,gpt5mini,82.32,82.87,0.5500000000000114,294226,0.160129,18,4.11768072048823,False
sequence_01,1,run_03,767,restcountries,3,glm,82.87,82.87,0.0,288998,0.3507889919999999,17,10.8845760901769,False
sequence_01,1,run_03,767,scs,1,qwen,65.08,91.53,26.450000000000003,171113,0.1437492399999999,15,9.575367232163748,False
sequence_01,1,run_03,767,scs,2,gpt5mini,91.53,93.9,2.3700000000000045,118405,0.10501925,14,2.3983402172724406,False
sequence_01,1,run_03,767,scs,3,glm,93.9,95.59,1.6899999999999975,133858,0.28928481,16,6.997964382171631,False
sequence_01,1,run_03,767,spring-actuator-demo,1,qwen,80.65,100.0,19.349999999999994,6036,0.00620163,2,3.4042980233828226,False
sequence_01,1,run_03,767,spring-actuator-demo,2,gpt5mini,100.0,100.0,0.0,0,0.0,0,0.000169817606608,False
sequence_01,1,run_03,767,spring-actuator-demo,3,glm,100.0,100.0,0.0,0,0.0,0,0.0001786748568216,False
sequence_02,2,run_01,367,features-service,1,qwen,56.02,80.31,24.29,260786,0.2060558699999999,23,7.96661285161972,False
sequence_02,2,run_01,367,features-service,2,glm,80.31,80.31,0.0,158888,0.23418984,10,22.370660003026327,False
sequence_02,2,run_01,367,features-service,3,gpt5mini,80.31,80.31,0.0,96123,0.07639425,10,3.565384916464488,False
