sequence,seq_num,run,seed,project,seq_label,m1,m2,m3,T0,C1,C2,C3,gain,time_min,tokens,cost,requests,flagged
sequence_03,3,run_01,450,features-service,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,56.02,80.74,80.96,80.96,24.93999999999999,26.679756069183348,549289,0.8564390636000001,51,False
sequence_03,3,run_01,450,ncs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,74.18,89.45,96.0,96.0,21.819999999999997,28.69712968269984,253558,0.32127147,33,False
sequence_03,3,run_01,450,restcountries,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,78.27,81.03,81.03,82.87,4.6000000000000085,22.388196790218352,1092784,0.830933956,66,False
sequence_03,3,run_01,450,scs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,65.08,89.49,93.56,93.9,28.820000000000007,18.459042127927145,434419,0.5136224817999998,51,False
sequence_03,3,run_01,450,spring-actuator-demo,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,80.65,80.65,100.0,100.0,19.349999999999994,6.703306380907694,18317,0.0232411199999999,4,False
sequence_03,3,run_01,767,features-service,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,56.02,77.46,80.31,80.96,24.93999999999999,17.792035460472107,499412,0.4988523443,49,False
sequence_03,3,run_01,767,ncs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,74.18,92.36,95.64,96.36,22.179999999999996,23.129463092486063,243731,0.3284879973999999,37,False
sequence_03,3,run_01,767,restcountries,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,78.27,79.37,79.37,79.37,1.1000000000000083,17.328481654326122,1115733,0.8224403832,66,False
sequence_03,3,run_01,767,scs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,65.08,94.58,95.59,95.59,30.510000000000005,19.9395365913709,458607,0.527406155,58,False
sequence_03,3,run_01,767,spring-actuator-demo,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,80.65,80.65,80.65,80.65,0.0,10.254277046521503,30667,0.04069623,6,False
sequence_03,3,run_02,367,features-service,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,56.02,80.31,80.96,80.96,24.93999999999999,25.904250554243724,539123,0.6473583677999999,58,False
sequence_03,3,run_02,367,ncs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,74.18,95.64,95.64,95.64,21.459999999999997,31.87767399549484,243423,0.3202154578,27,False
sequence_03,3,run_02,367,restcountries,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,78.27,78.64,78.64,81.22,2.950000000000003,18.78163322210312,1141831,0.9912407558,67,False
sequence_03,3,run_02,367,scs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,65.08,92.54,94.24,94.58,29.5,36.44898901780447,415117,0.4857610047999999,39,False
